Player,Surface,ELO
Li Ingayo,Clay,1486.47729766387
X Gaston,Clay,1522.5304624709747
Harry Hopman,Clay,1472.5608130332337
Lucilo Del Castillo,Clay,1522.461706751576
George E Lyttleton Rogers,Clay,1584.2950817771725
Guillermo Aragon,Clay,1487.4880205877348
Max Bally,Clay,1483.3635413584034
Charles Herbert Kingsley,Clay,1504.1828431840713
Jacques J Bonte,Clay,1422.7794550705887
Max Combemale,Clay,1446.274470866256
D Stralem,Clay,1482.5620247272711
Carlos Morea,Clay,1485.7974128078604
Robert A Pope,Clay,1482.5891830150467
Rene Galeppe,Clay,1404.2540009672957
Jacques Georges Grandguillot,Clay,1530.5891024618534
Norman Everard Brookes,Clay,1484.0
Georges Glasser,Clay,1394.991818433536
J Holthouse,Clay,1501.2708727950528
Hl Walcott,Clay,1485.1565442729452
Jacques Deniau,Clay,1468.3840398532695
H Rigault,Clay,1483.2894439910335
Louis Geraud,Clay,1457.7604781958785
Adriano Zappa,Clay,1481.9623989651102
Leighton Crawford,Clay,1482.8614149841972
Ronald Boyd,Clay,1501.37256557036
Rolf Christoffersen,Clay,1469.8230964819988
Torleif Torkildsen,Clay,1423.1428116053985
Maurice Iwiens Deeckhoutte,Clay,1439.559980631769
Andre Ewbank,Clay,1478.3720701721713
Russell Rt Young,Clay,1496.156064003177
Antonio Pinto Coelho,Clay,1468.736306793522
Buster Andrews,Clay,1493.1075401857786
Laszlo Dorner,Clay,1484.3102029355796
Roderich Ferdinand Ottomar Menzel,Clay,1771.787946102251
Daniel Dan Prenn,Clay,1610.2152879704413
Pao Hua Lum,Clay,1470.1735950821926
George Martin Lott,Clay,1595.2532006037952
Paul Kong,Clay,1470.1646378563958
Yoshiro Ota,Clay,1517.95102757769
Junior Coen,Clay,1552.3609198611255
Tamino Abe,Clay,1438.7649633926528
 Ev Bobb,Clay,1475.3879206471622
Placido Gaslini,Clay,1473.0151459833667
Josef Malecek,Clay,1556.863402357943
Arne Veslchou Rasmussen,Clay,1514.6334573222885
Leonardo Bonzi,Clay,1522.0990705440315
Ian Glen Collins,Clay,1494.0711728004044
Nicolas Magaloff,Clay,1457.946075661589
Bunny Austin,Clay,1715.4088489228097
H Dannon,Clay,1513.3110815292391
N Zahar,Clay,1495.233841661889
Georgios Zafiropoulo,Clay,1485.4462453028418
Marcel Cousin,Clay,1451.1893937065095
Vladimir M Landau,Clay,1399.7228366842799
Tim Horn,Clay,1485.2824884301756
X Espagnol,Clay,1483.4613350779566
Andre Martin Legeay,Clay,1506.5455732166924
Dick Covington,Clay,1483.4167708498376
John Sheldon Olliff,Clay,1507.0712096810578
Leopold De Borman,Clay,1414.8145555969616
X Siedoff,Clay,1482.6729494284702
Jack Fridtjof Charles Haake Coucheron Nobel Nielsen,Clay,1432.4945893185513
Beni Berthet,Clay,1466.2932598897391
Pierre Joba,Clay,1455.1119782069966
X Landauer,Clay,1486.4079746895372
Roy Malcolm,Clay,1482.5038377604383
Fritz Kuhlmann,Clay,1446.7042956822872
Alberto Del Bono,Clay,1480.7430609786593
Ag Rawlins,Clay,1484.8940359710452
A Ernst,Clay,1483.824388784449
Andrzej Tarnowski,Clay,1468.948820866759
Pat Hughes,Clay,1645.0123876679254
Maximilian Stolarow,Clay,1424.2338391482765
Enrique Gerardo Maier,Clay,1464.8829422886004
Curt Ostberg,Clay,1482.9083151371997
Colin Robbins,Clay,1531.7529523878645
 N Zaher,Clay,1485.3784253430722
Jacques Grandguillot,Clay,1482.0925943896125
Gustavo Vollmer Ravelo,Clay,1495.4088030945297
John William Van Ryn,Clay,1593.0419028561764
Ricardo Morales,Clay,1519.9595020912802
German Upmann,Clay,1485.4039134908958
Harry Lee,Clay,1637.5860985262157
Heinz Landmann,Clay,1498.9872546823167
Kresimir Friedrich,Clay,1530.5304984710244
John Soderstrom,Clay,1469.4695015289756
Franjo Sefer,Clay,1530.5304984710244
Harry Ramberg,Clay,1469.4717182811528
 A Riches,Clay,1484.8429341142714
Ignacy Hanislaw Tloczynski,Clay,1537.979653102053
Marcel Rainville,Clay,1435.4060735870428
Atri Madan Mohan,Clay,1467.9577767531287
Janmeja Charanjiva,Clay,1484.736306793522
Hira Lal Soni,Clay,1483.9576723488854
Hyotare Satoh,Clay,1576.1138203756468
John Thomas Godfray Hope Doeg,Clay,1529.3164943236588
Bo Grotenfelt,Clay,1474.967188369218
Federico Sendel,Clay,1484.642489285235
Ernesto Hernandez Erro,Clay,1484.099358751836
Eduardo Stanham,Clay,1484.8308635678866
Juan Carlos Da Silva,Clay,1483.2690272420746
Carlos Gainza,Clay,1484.0390077360512
Fred Perry,Clay,1781.690582084251
Rene Gallepe,Clay,1477.7462970161776
Jean Lesueur,Clay,1453.2672479990622
Frank Shields,Clay,1598.9402279848896
Jorge Acosta,Clay,1484.0
Gottfried Alexander Maximilian Walter Kurt Von Cramm,Clay,1752.2985378395924
Bob Kirby,Clay,1514.5828819229855
Jiro Satoh,Clay,1644.4611939510405
R Zander,Clay,1518.6750477215066
Jean Rimet,Clay,1439.265971785005
Andre Merlin,Clay,1641.5421507502874
Bc Lowe,Clay,1485.7095358950016
Gino De Martino,Clay,1499.4204321172253
Franjo Kukuljevic,Clay,1532.3612925074926
Oscar De Minerbi,Clay,1479.330730104649
Max S Ellmer,Clay,1481.003964978639
Edgar Ward,Clay,1489.0370793647717
Pierre Goldschmidt,Clay,1455.1917320306734
Marcel Bernard,Clay,1669.627533709129
Minoru Kawachi,Clay,1528.1388357075782
Roger Vieillard,Clay,1433.8779139382032
Emil Gabory Gabrowitz,Clay,1511.6202481392193
Ranbir Singh,Clay,1467.4335391804198
Pierre Albarran,Clay,1478.331622879287
Jiri Novotny,Clay,1478.581344169621
Franjo Schaeffer,Clay,1466.877414960333
Ahmed Shukry,Clay,1472.2465492374538
Jack Montagu Hillyard,Clay,1482.5009270765352
Alain J Gerbault,Clay,1490.6476440356107
Edouard Leven,Clay,1450.7257507719225
Jean De Macedo,Clay,1484.1479014102881
Francois Terrier,Clay,1444.245210956772
Huyuh Van Giao,Clay,1483.4992292973511
Louis Haensch,Clay,1482.737827324781
Nguyen Van Chim,Clay,1494.369184008312
Andre La Croix,Clay,1532.1623639247955
Jozef Hebda,Clay,1496.2532543987413
Jan Van Der Heide,Clay,1486.5399219464352
Aad Knappert,Clay,1491.6762665506722
Clifford Sutter,Clay,1540.357272114846
Ladislav Hecht,Clay,1562.630949513784
Henry Ellsworth Vines,Clay,1614.491966926479
Roland Journu,Clay,1500.1159986678244
R Douillet,Clay,1499.8136722521363
Philippe Gajan,Clay,1460.5281431105657
M Krasny,Clay,1495.90069660494
Louis Desloges,Clay,1468.961032512635
Emanuele Sertorio,Clay,1510.3920213668407
Gregory Mangin,Clay,1543.0793582580457
Takeo Kuwabara,Clay,1540.6824496029678
Ted Avory,Clay,1486.5356386090807
Edmond Lotan,Clay,1502.0986530566042
Guy Van Zuylen,Clay,1448.6244733932156
Giovanni Palmieri,Clay,1515.3918991464072
Josef Siba,Clay,1445.6844102962627
Andre Lacroix,Clay,1454.597778795608
Fru Svend Sperling,Clay,1444.5170128496582
D Datt,Clay,1483.076161447011
Herman F David,Clay,1529.2111234479855
Jurme Mital,Clay,1484.0
Ferenc Marsalek,Clay,1484.5624458138568
Jp Gallet,Clay,1487.35911186206
Bobby De,Clay,1489.2540573921124
Guy Troncin,Clay,1459.7075045868012
Helge Ploughmann,Clay,1481.7036230645226
Andre Roche,Clay,1471.825254205033
Andre Poulailion,Clay,1459.7014756506665
Imre Zichy,Clay,1485.6905607255871
Alexandre Goldryn,Clay,1467.559138247106
Andre Contanson,Clay,1492.9905894823048
Ryuki Miki,Clay,1486.4495852085095
Ragnar Hagen,Clay,1467.2423017358178
Johan Haanes,Clay,1417.9135206877017
Eduardo Mestre,Clay,1476.8187593759005
Ultimo Simone,Clay,1487.6506237270842
Ricardo Pernambuco,Clay,1477.7577975339545
Nelson Cruz,Clay,1488.993083197152
Gustav Jaenecke,Clay,1490.0615342298577
Elias Deik,Clay,1467.4886885408878
Salvador Deik,Clay,1483.486599962662
Americo Cattaruzza,Clay,1493.809716062808
Frank Herbert David Wilde,Clay,1512.222078594034
A Fe D Ostiani,Clay,1503.2591326779243
Eikishi Itoh,Clay,1524.532718856901
Maurice Papillon,Clay,1478.2801901445098
Ryosuke Nunoi,Clay,1527.8866100299451
Colin Jj Robbins,Clay,1537.2747323470926
Robert Billaudot,Clay,1369.671511061638
Don Turnbull,Clay,1531.1334178450604
Franjo Puncec,Clay,1658.8001124529053
Werner Steiner,Clay,1495.3908279538887
Adrian Karl Quist,Clay,1556.2452109606618
M Benda,Clay,1489.1273025627706
Erick Baer,Clay,1483.456594725025
Pierre Chevalier,Clay,1454.1270043619973
Robert Bouy,Clay,1472.0548001449904
Francois Merlin,Clay,1482.0156057243637
Viv Mcgrath,Clay,1543.8592177574974
Josip Palada,Clay,1501.611696624889
Tom Hughan,Clay,1389.2776547500973
Esteban Reyes,Clay,1460.9423733187123
Adrian Quist,Clay,1579.9736015430724
Finn Trgyve Smith,Clay,1412.2995163113033
 A Cantacuzene,Clay,1474.2147822451386
Willem Karsten,Clay,1459.416801690047
Augusto Rado,Clay,1507.8097282187084
Valentino Taroni,Clay,1503.8867389169382
Wilmer Hines,Clay,1533.7760352921707
Hans Denker,Clay,1525.56181944157
Bernard Destremeau,Clay,1590.9632541966516
I Lafontan,Clay,1484.4305350501068
H Tuscher,Clay,1499.241323237935
Henry M Culley,Clay,1468.0276466375442
Kenneth C Gandar Dower,Clay,1491.1464529024393
Max Tenaille,Clay,1467.3778601842728
Charles Naeyaert,Clay,1510.4634522509737
Jacques Lecointre,Clay,1439.865884835369
Gaby Mercier Odier,Clay,1450.3642776746863
Jack F G Lysaght,Clay,1498.3332100357218
Jacques Weiss,Clay,1350.063132289102
Jacques Jamain,Clay,1522.9726423045342
Georg Felix Von Metaxa,Clay,1540.9514079191188
H Macfarlane,Clay,1481.9747605006573
Robert Salvet,Clay,1483.216100960084
X Nydis,Clay,1486.0974103306908
Laddie Wheatcroft,Clay,1483.3296467625
Michael Robertson,Clay,1588.0970678770118
Philippe Poullain,Clay,1488.5893288720058
Charles Edgar Hare,Clay,1528.328927804539
Prince Of Cutch,Clay,1488.7591115884813
Robert Jourde,Clay,1483.3708912085467
Boris Maneff,Clay,1512.2376157734175
Alan Christie Stedman,Clay,1511.5878532692407
George Nicolaidis,Clay,1458.8169958131039
Cam Malfroy,Clay,1475.7844542076655
Wilhelm Otto Eberhard Nourney,Clay,1480.5229266491885
Josef Knottenbelt,Clay,1494.4411306099043
Emil Gabori,Clay,1522.2731054450112
Elek Straub,Clay,1492.3308050635442
Kalle Schraeder,Clay,1609.6282175417753
George Mcveagh,Clay,1466.701481408115
Jacques Langanay,Clay,1474.2469221830834
Josef Caska,Clay,1537.9505652731116
Perez Guerrero,Clay,1491.0889964110886
Adam Baworowski,Clay,1534.8900762630399
John Hendrie,Clay,1504.595260899167
Vanni Canepele,Clay,1557.9286007590563
